index,name,ELO,fGoals,aGoals,num_matches,fGoals_p_match,aGoals_p_match,team_code
Scotland,Scotland,1413.5710294841322,1395,996,813,1.7158671586715868,1.2250922509225093,241
England,England,1649.4202101649344,2292,1017,1047,2.189111747851003,0.9713467048710601,85
Wales,Wales,1385.198241326901,859,1122,692,1.2413294797687862,1.6213872832369942,300
Northern Ireland,Northern Ireland,1206.894298678062,703,1255,673,1.0445765230312036,1.8647845468053492,198
United States,United States,1524.948032661283,1078,945,728,1.4807692307692308,1.2980769230769231,291
Uruguay,Uruguay,1556.9027233565437,1442,1141,919,1.5690968443960827,1.2415669205658324,293
Austria,Austria,1375.2120781332078,1448,1282,819,1.768009768009768,1.5653235653235653,18
Hungary,Hungary,1488.625119333356,1949,1430,964,2.021784232365145,1.483402489626556,124
Argentina,Argentina,1726.6993395615723,1883,1046,1014,1.8570019723865878,1.0315581854043392,12
Belgium,Belgium,1618.5164554534351,1432,1230,804,1.7810945273631842,1.5298507462686568,28
France,France,1618.8621633552693,1567,1132,875,1.790857142857143,1.2937142857142858,96
Netherlands,Netherlands,1687.7878409423522,1703,1003,821,2.074299634591961,1.2216808769792935,187
Czechoslovakia,Czechoslovakia,1359.8742857255977,920,691,498,1.8473895582329318,1.3875502008032128,74
Switzerland,Switzerland,1601.504141482238,1226,1383,834,1.4700239808153477,1.658273381294964,265
Sweden,Sweden,1396.7461818577126,2059,1347,1051,1.9590865842055185,1.2816365366317792,264
Germany,Germany,1594.9046837706214,2211,1139,985,2.2446700507614215,1.1563451776649747,104
Italy,Italy,1634.7335362667257,1439,803,836,1.7212918660287082,0.9605263157894737,134
Chile,Chile,1408.6231195736161,1118,1135,792,1.4116161616161615,1.4330808080808082,59
Norway,Norway,1407.1273281599417,1259,1363,832,1.5132211538461537,1.6382211538461537,200
Finland,Finland,1329.543189488428,910,1602,776,1.172680412371134,2.064432989690722,95
Luxembourg,Luxembourg,1115.1577058010191,272,1140,430,0.6325581395348837,2.6511627906976742,157
Russia,Russia,1433.010369088753,1230,697,716,1.717877094972067,0.973463687150838,226
Denmark,Denmark,1496.7024471121636,1491,1134,832,1.7920673076923077,1.3629807692307692,77
Catalonia,Catalonia,1189.6334619549107,76,85,48,1.5833333333333333,1.7708333333333333,52
Basque Country,Basque Country,1336.7418598029212,157,77,58,2.706896551724138,1.3275862068965518,26
Brazil,Brazil,1746.2114571205234,2232,912,1019,2.1903827281648676,0.8949950932286556,38
Japan,Japan,1552.3814216733879,1194,789,683,1.7481698389458273,1.1551976573938507,137
Paraguay,Paraguay,1412.4731210963455,969,1077,747,1.2971887550200802,1.4417670682730923,211
Canada,Canada,1392.8682785491899,520,553,415,1.2530120481927711,1.3325301204819278,48
Estonia,Estonia,1127.818579147655,511,898,509,1.0039292730844793,1.7642436149312377,88
Costa Rica,Costa Rica,1471.0662785421368,1041,760,650,1.6015384615384616,1.1692307692307693,66
Guatemala,Guatemala,1271.8944144648558,665,633,479,1.3883089770354906,1.3215031315240084,114
Spain,Spain,1633.7069709552934,1474,654,731,2.0164158686730507,0.8946648426812586,259
Brittany,Brittany,1024.4202104301878,19,16,12,1.5833333333333333,1.3333333333333333,40
Poland,Poland,1482.6069422191754,1433,1141,850,1.6858823529411764,1.3423529411764705,215
Yugoslavia,Yugoslavia,1413.3424646907347,941,741,481,1.9563409563409564,1.5405405405405406,311
New Zealand,New Zealand,1373.902252343416,651,583,378,1.7222222222222223,1.5423280423280423,189
Romania,Romania,1296.4207698305784,1172,926,723,1.6210235131396957,1.280774550484094,225
Latvia,Latvia,1043.9090978839843,520,695,425,1.223529411764706,1.6352941176470588,150
Galicia,Galicia,1049.6496731944792,19,14,9,2.111111111111111,1.5555555555555556,100
Portugal,Portugal,1605.5036736540426,1108,738,648,1.7098765432098766,1.1388888888888888,216
Andalusia,Andalusia,1091.4458134711306,26,15,13,2.0,1.1538461538461537,6
China PR,China PR,1256.8230904475308,1098,675,608,1.805921052631579,1.1101973684210527,60
Australia,Australia,1490.815452346954,1086,590,540,2.011111111111111,1.0925925925925926,17
Lithuania,Lithuania,956.222221985336,406,725,396,1.0252525252525253,1.8308080808080809,156
Turkey,Turkey,1349.7810277095277,820,839,599,1.3689482470784642,1.4006677796327212,282
Central Spain,Central Spain,1000.3669376095977,3,5,2,1.5,2.5,55
Mexico,Mexico,1520.037682048291,1590,978,924,1.7207792207792207,1.0584415584415585,175
Aruba,Aruba,860.8350920765303,163,311,127,1.2834645669291338,2.4488188976377954,15
Egypt,Egypt,1345.5367321578246,1097,681,681,1.6108663729809105,1.0,82
Haiti,Haiti,1319.08917578068,760,642,473,1.6067653276955602,1.357293868921776,120
Philippines,Philippines,1027.4730338830138,281,519,241,1.16597510373444,2.1535269709543567,214
Bulgaria,Bulgaria,1217.4802255874824,981,1045,698,1.4054441260744985,1.497134670487106,43
Jamaica,Jamaica,1294.9209741667169,784,796,595,1.3176470588235294,1.33781512605042,136
Kenya,Kenya,1120.9835391505803,926,911,667,1.3883058470764618,1.3658170914542729,142
Bolivia,Bolivia,1318.6554953177,513,954,488,1.0512295081967213,1.9549180327868851,34
Peru,Peru,1497.644439558453,808,939,657,1.2298325722983257,1.4292237442922375,213
Honduras,Honduras,1237.5508488401072,796,696,557,1.429084380610413,1.2495511669658887,122
Guyana,Guyana,1084.5228051895842,355,495,278,1.276978417266187,1.7805755395683454,118
Uganda,Uganda,1142.3617257354135,1010,767,662,1.5256797583081572,1.1586102719033233,287
